label,total_return,cagr,sharpe,sortino,max_drawdown,calmar,final_value,months,deadband,rotations,total_costs,total_taxes,broker
db=0.000,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.0,24,6084.094573979294,0.0,xtb_ike
db=0.002,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.002,24,6084.094573979294,0.0,xtb_ike
db=0.004,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.004,24,6084.094573979294,0.0,xtb_ike
db=0.006,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.006,24,6084.094573979294,0.0,xtb_ike
db=0.008,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.008,24,6084.094573979294,0.0,xtb_ike
db=0.010,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.01,24,6084.094573979294,0.0,xtb_ike
db=0.012,4.145495747519782,0.13349235544402593,0.8953640043895803,0.9002464170876205,-0.24169335011205595,0.5523211763258487,46031.60495731197,158,0.012,24,6084.094573979294,0.0,xtb_ike
db=0.014,4.320743502394185,0.13639988573643325,0.908550409181723,0.9178751713883984,-0.24169335011205595,0.5643510078915881,47599.37137241838,158,0.014,24,6156.260853759743,0.0,xtb_ike
db=0.016,4.417671172168918,0.1379702388426043,0.9143093487557791,0.9276188999002768,-0.24169335011205595,0.5708483033506604,48466.48630622314,158,0.016,24,6201.837328125043,0.0,xtb_ike
db=0.018,4.064854017919702,0.13212358275247604,0.8811669334382616,0.9015505240084193,-0.27235512437723874,0.48511509763066485,45310.18404430965,158,0.018000000000000002,24,6029.967831083455,0.0,xtb_ike
db=0.020,3.926684869708419,0.12973088562658952,0.8649551299181265,0.8935813161582713,-0.28092146396302414,0.4618048183162863,44074.12284441152,158,0.02,24,5945.265850054636,0.0,xtb_ike
db=0.022,3.926684869708419,0.12973088562658952,0.8649551299181265,0.8935813161582713,-0.28092146396302414,0.4618048183162863,44074.12284441152,158,0.022,24,5945.265850054636,0.0,xtb_ike
db=0.024,4.276861297581872,0.13568023184570954,0.8978440809756456,0.9217942231246306,-0.24169335011205603,0.5613734584869805,47206.80116816743,158,0.024,22,5382.808247898834,0.0,xtb_ike
db=0.026,4.536896727437822,0.13986664178141806,0.9209524379829833,0.9481182820719956,-0.24169335011205606,0.5786946215796662,49533.07812365875,158,0.026000000000000002,22,5519.05433458565,0.0,xtb_ike
db=0.028,4.4566030754579735,0.13859369210002215,0.9138380001434461,0.9493751834678027,-0.2416933501120558,0.5734278251171008,48814.771113047034,158,0.028,20,5034.796630459087,0.0,xtb_ike
db=0.030,4.848592024981978,0.14465181859660436,0.9508168483098626,0.994589013558332,-0.24169335011205617,0.5984931671870141,52321.50425548878,158,0.03,18,4200.562922819309,0.0,xtb_ike
db=0.032,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.032,19,4472.120105115209,0.0,xtb_ike
db=0.034,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.034,19,4472.120105115209,0.0,xtb_ike
db=0.036,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.036000000000000004,19,4472.120105115209,0.0,xtb_ike
db=0.038,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.038,19,4472.120105115209,0.0,xtb_ike
db=0.040,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.04,19,4472.120105115209,0.0,xtb_ike
db=0.042,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.042,19,4472.120105115209,0.0,xtb_ike
db=0.044,4.374071608963823,0.13726710749830384,0.9120578043642421,0.9631445186845793,-0.28386897110523884,0.4835579843892651,48076.444613790365,158,0.044,19,4472.120105115209,0.0,xtb_ike
db=0.046,4.696993444800422,0.14235467452481165,0.9467243147063897,1.0067492697933704,-0.28386897110523895,0.5014802215633367,50965.30335718458,158,0.046,19,4663.1344158853935,0.0,xtb_ike
db=0.048,5.89099714599347,0.15910290689632256,1.0456441271378196,1.1056113566823706,-0.2416933501120559,0.6582841721650924,61646.86046805758,158,0.048,16,3715.8146260192234,0.0,xtb_ike
db=0.050,5.89099714599347,0.15910290689632256,1.0456441271378196,1.1056113566823706,-0.2416933501120559,0.6582841721650924,61646.86046805758,158,0.05,16,3715.8146260192234,0.0,xtb_ike
db=0.052,6.993307442081924,0.17233434696301098,1.1251546862984314,1.1624904954081068,-0.2416933501120558,0.7130289140479535,71508.12837686489,158,0.052000000000000005,14,3550.4174899215095,0.0,xtb_ike
db=0.054,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.054,14,3557.3994629915414,0.0,xtb_ike
db=0.056,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.056,14,3557.3994629915414,0.0,xtb_ike
db=0.058,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.058,14,3557.3994629915414,0.0,xtb_ike
db=0.060,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.06,14,3557.3994629915414,0.0,xtb_ike
db=0.062,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.062,14,3557.3994629915414,0.0,xtb_ike
db=0.064,6.901775998322675,0.17130201505913578,1.1204232582460878,1.1702788430392763,-0.2416933501120558,0.7087576674315423,70689.28808099465,158,0.064,14,3557.3994629915414,0.0,xtb_ike
db=0.066,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.066,14,3545.6707689337104,0.0,xtb_ike
db=0.068,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.068,14,3545.6707689337104,0.0,xtb_ike
db=0.070,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.07,14,3545.6707689337104,0.0,xtb_ike
db=0.072,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.07200000000000001,14,3545.6707689337104,0.0,xtb_ike
db=0.074,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.074,14,3545.6707689337104,0.0,xtb_ike
db=0.076,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.076,14,3545.6707689337104,0.0,xtb_ike
db=0.078,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.078,14,3545.6707689337104,0.0,xtb_ike
db=0.080,6.843952396068477,0.17064414808526163,1.1163631420939737,1.166421852620134,-0.24169335011205614,0.7060357598011943,70171.9981352286,158,0.08,14,3545.6707689337104,0.0,xtb_ike
