label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,broker,rotations,total_costs,total_taxes
XTB IKE,485.5478770041963,0.15275655163297608,1.443249347472801,3.1503112915801523,-0.26977533711441126,0.5662361625302771,501522.8475626315,157,xtb_ike,18,44064.3967503737,0.0
BOSSA IKE (promo),550.4003702737247,0.17110065143061623,1.4729585523400015,3.178956612161615,-0.25081992712652734,0.6821653023776841,570659.1514080887,157,bossa_ike_promo,18,8155.43233365253,0.0
BOSSA IKE (standard),512.5887048264118,0.15909618624278574,1.4564657228407123,3.139067074068838,-0.2617002087312255,0.6079329742001949,524336.5946550962,157,bossa_ike_standard,18,31004.356638448702,0.0
mBank IKE (eMakler),536.635267537374,0.1675236017626856,1.4672141972279573,3.1647556628647964,-0.2546618293945805,0.6578276852913031,556412.7168913843,157,mbank_ike,18,15690.281044940835,0.0
Rachunek opodatkowany,441.3449608368643,0.13953522560125756,1.4213793758148332,3.2044218009966667,-0.2729680562196198,0.5111778555106565,457336.5066381135,157,taxed_account,18,7248.441647816452,65905.6676929924
