capital,broker,xirr,final_value
5000,xtb_ike,0.14214256316278426,28127.852694731937
5000,bossa_ike_promo,0.15655441232032297,33106.45943612626
5000,mbank_ike,0.15371537748019032,32065.671508833417
10000,xtb_ike,0.14214256316278426,56255.705389463874
10000,bossa_ike_promo,0.15658690886245707,66237.1021976005
10000,mbank_ike,0.15376139675748282,64164.597053961385
15000,xtb_ike,0.1421425631627841,84383.55808419571
15000,bossa_ike_promo,0.15665167534323682,99427.98679958766
15000,mbank_ike,0.153801838613468,96290.75088492867
20000,xtb_ike,0.14214256316278426,112511.41077892775
20000,bossa_ike_promo,0.15662889294650273,132536.7160941115
20000,mbank_ike,0.1537887484157019,128368.73840754494
25000,xtb_ike,0.14214256316278415,140639.26347365964
25000,bossa_ike_promo,0.15666367557232122,165735.65736254634
25000,mbank_ike,0.15382313102907905,160523.0797894401
30000,xtb_ike,0.1421425631627841,168767.11616839143
30000,bossa_ike_promo,0.1566635226517594,198882.44710383995
30000,mbank_ike,0.15383938301972921,192662.96138590676
35000,xtb_ike,0.14214256316278429,196894.96886312345
35000,bossa_ike_promo,0.15667925094161944,232070.53090071178
35000,mbank_ike,0.15382510487017179,224737.30827465997
40000,xtb_ike,0.14214256316278426,225022.8215578555
40000,bossa_ike_promo,0.15666548805629174,265182.4523066112
40000,mbank_ike,0.1538242779909971,256840.24583453801
45000,xtb_ike,0.14214256316278429,253150.67425258728
45000,bossa_ike_promo,0.15668482746415874,298395.0932102391
45000,mbank_ike,0.15382366208902767,288943.27202196757
50000,xtb_ike,0.14214256316278415,281278.5269473193
50000,bossa_ike_promo,0.15668069415075878,331534.7059977752
50000,mbank_ike,0.15383797122292941,321099.8294218463
55000,xtb_ike,0.1421425631627842,309406.37964205106
55000,bossa_ike_promo,0.15668275485857044,364696.6207927135
55000,mbank_ike,0.1538287271631301,353173.03684454295
60000,xtb_ike,0.1421425631627841,337534.23233678285
60000,bossa_ike_promo,0.1566850721325345,397861.21804217075
60000,mbank_ike,0.15383840477555571,385321.6769971879
65000,xtb_ike,0.1421425631627842,365662.0850315151
65000,bossa_ike_promo,0.15667682506846325,430976.3813550516
65000,mbank_ike,0.15382948600360993,417389.8838865513
70000,xtb_ike,0.14214256316278429,393789.9377262469
70000,bossa_ike_promo,0.1566851327353977,464171.7371208566
70000,mbank_ike,0.15382827490316933,449490.6661833389
75000,xtb_ike,0.14214256316278415,421917.79042097914
75000,bossa_ike_promo,0.15668079101567567,497302.60025239096
75000,mbank_ike,0.1538401985096574,481661.8277419885
80000,xtb_ike,0.14214256316278426,450045.643115711
80000,bossa_ike_promo,0.15668866000414042,530503.0100381069
80000,mbank_ike,0.15383869925371757,513763.94011538866
85000,xtb_ike,0.14214256316278412,478173.4958104427
85000,bossa_ike_promo,0.1566823303688348,563619.3620703155
85000,mbank_ike,0.15383482072931665,545850.3393460442
90000,xtb_ike,0.14214256316278429,506301.34850517457
90000,bossa_ike_promo,0.15669147425488067,596834.7584711792
90000,mbank_ike,0.1538391702214034,577987.4987715078
95000,xtb_ike,0.1421425631627843,534429.2011999069
95000,bossa_ike_promo,0.1566859481160896,629953.1289104857
95000,mbank_ike,0.15383478768211103,610067.7992377813
100000,xtb_ike,0.14214256316278415,562557.0538946385
100000,bossa_ike_promo,0.156688781687407,663129.669201521
100000,mbank_ike,0.15384128936260216,642223.6613396528
105000,xtb_ike,0.14214256316278423,590684.9065893706
105000,bossa_ike_promo,0.1566880767803191,696280.6378518847
105000,mbank_ike,0.15384206662572303,674340.7481619479
110000,xtb_ike,0.1421425631627842,618812.7592841021
110000,bossa_ike_promo,0.15669002065120266,729452.7907734266
110000,mbank_ike,0.15384113303735214,706444.7835586385
115000,xtb_ike,0.1421425631627841,646940.6119788343
115000,bossa_ike_promo,0.15668874904644395,762598.8398951419
115000,mbank_ike,0.15383846589451255,738533.7226733819
120000,xtb_ike,0.1421425631627841,675068.4646735657
120000,bossa_ike_promo,0.15669513817990882,795812.439112239
120000,mbank_ike,0.15383916270189368,770649.933089485
125000,xtb_ike,0.14214256316278426,703196.3173682984
125000,bossa_ike_promo,0.15669085478241757,828931.3948371635
125000,mbank_ike,0.15384052925221606,802772.7035502823
130000,xtb_ike,0.1421425631627842,731324.1700630302
130000,bossa_ike_promo,0.15668617447196928,862043.3162430627
130000,mbank_ike,0.15384079546890508,834886.1151775157
135000,xtb_ike,0.14214256316278426,759452.0227577627
135000,bossa_ike_promo,0.15669231751538754,895260.6201409732
135000,mbank_ike,0.15384333337145334,867021.9041805572
140000,xtb_ike,0.14214256316278429,787579.8754524938
140000,bossa_ike_promo,0.15668883127224398,928382.0541172196
140000,mbank_ike,0.1538412332729548,899112.557834292
145000,xtb_ike,0.14214256316278434,815707.7281472263
145000,bossa_ike_promo,0.1566918333917524,961570.9910502731
145000,mbank_ike,0.15383935238220822,931203.9920123483
150000,xtb_ike,0.14214256316278415,843835.5808419583
150000,bossa_ike_promo,0.15669122876208114,994721.8536514378
150000,mbank_ike,0.15384387118377696,963363.5071290134
155000,xtb_ike,0.14214256316278434,871963.4335366902
155000,bossa_ike_promo,0.1566923777700792,1027892.519029203
155000,mbank_ike,0.15384220606906104,995456.9536605346
160000,xtb_ike,0.14214256316278426,900091.286231422
160000,bossa_ike_promo,0.1566891876890219,1061012.3108811262
160000,mbank_ike,0.15384259522540586,1027572.9725018335
165000,xtb_ike,0.14214256316278415,928219.1389261537
165000,bossa_ike_promo,0.156694283988637,1094231.6016654293
165000,mbank_ike,0.15384384125162243,1059699.500566817
170000,xtb_ike,0.14214256316278412,956346.9916208854
170000,bossa_ike_promo,0.15669117157940354,1127350.709810342
170000,mbank_ike,0.15384018979553254,1091766.702387451
175000,xtb_ike,0.14214256316278415,984474.844315618
175000,bossa_ike_promo,0.1566946261084693,1160553.129644359
175000,mbank_ike,0.15384696647032203,1123963.2772770606
180000,xtb_ike,0.14214256316278429,1012602.6970103491
180000,bossa_ike_promo,0.15669230557716426,1193680.6667370414
180000,mbank_ike,0.15384397005991537,1156037.4960485273
185000,xtb_ike,0.1421425631627842,1040730.5497050815
185000,bossa_ike_promo,0.15669467176196977,1226871.0806752015
185000,mbank_ike,0.15384300945180165,1188136.7929745421
190000,xtb_ike,0.1421425631627843,1068858.4023998138
190000,bossa_ike_promo,0.15669458224524102,1260028.4911856456
190000,mbank_ike,0.1538446920624607,1220271.7251227307
195000,xtb_ike,0.14214256316278423,1096986.2550945454
195000,bossa_ike_promo,0.15669208435012122,1293150.8412375397
195000,mbank_ike,0.15384642541764576,1252408.590733407
200000,xtb_ike,0.14214256316278415,1125114.107789277
200000,bossa_ike_promo,0.1566926354458988,1326316.7677810164
200000,mbank_ike,0.15384538066516892,1284506.5156402045
