label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,offset,rotations
day_offset=1,130.15319810526177,0.14870779139834142,1.9206741389996127,6.969406563261757,-0.07825035182031707,1.9004105149560573,133901.51638808107,72,1,4
day_offset=5,122.62550247718539,0.12707289698784027,1.8156887948599434,4.523375945317741,-0.13143361090445205,0.9668219271569594,126216.07772498137,72,5,5
day_offset=10,138.20893219406506,0.17051565369160473,1.7817309893361288,6.714362876151221,-0.10572652551129551,1.612799180404234,142126.05856999714,72,10,3
day_offset=15,135.64845984086008,0.16372870628883227,1.7535706739661412,6.766300691292624,-0.08723505070191877,1.8768683570585807,139511.9314597399,72,15,6
day_offset=20,138.40474539487997,0.17141646814401407,1.8010007693545758,8.331699969364797,-0.07263860020846571,2.3598536818174565,142325.97504093882,72,20,4
