label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,fx_cost_per_leg,rotations,total_costs
fx=0.0000,553.4981064085779,0.17203379579325492,1.4711174542257843,3.2270090207083175,-0.2500190526005753,0.6880827441102746,574439.5218093495,157,0.0,12,3966.555722732512
fx=0.0025,533.6477050753062,0.16652119681830896,1.4629996377795018,3.210605267000618,-0.2493422579338985,0.667841858007295,552489.1663175217,157,0.0025,12,13511.642992740117
fx=0.0050,514.6591497845272,0.16103354062715938,1.4547819577728338,3.2405371685643414,-0.2486489605930715,0.6476340791574839,531530.1070965955,157,0.005,12,22548.93128328204
fx=0.0075,496.4928405856273,0.15557083002577463,1.4464711730042128,3.219882695554142,-0.2479389086882217,0.6274562990087283,511514.9250439535,157,0.0075,12,31105.455182627495
fx=0.0100,479.1110158436285,0.15013305964243018,1.438074128292359,3.2891352195778123,-0.24721185220002614,0.607305265934229,492398.4970721145,157,0.01,12,39206.837600713916
