label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,deadband,rotations,total_costs,total_taxes,broker
db=0.000,536.635267537374,0.1675236017626856,1.4672141972279573,3.164755662864797,-0.2546618293945805,0.6578276852913031,556412.7168913843,157,0.0,18,15690.281044940835,0.0,mbank_ike
db=0.002,536.635267537374,0.1675236017626856,1.4672141972279573,3.164755662864797,-0.2546618293945805,0.6578276852913031,556412.7168913843,157,0.002,18,15690.281044940835,0.0,mbank_ike
db=0.004,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.004,16,14572.871098283598,0.0,mbank_ike
db=0.006,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.006,16,14572.871098283598,0.0,mbank_ike
db=0.008,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.008,16,14572.871098283598,0.0,mbank_ike
db=0.010,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.01,16,14572.871098283598,0.0,mbank_ike
db=0.012,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.012,16,14572.871098283598,0.0,mbank_ike
db=0.014,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.014,16,14572.871098283598,0.0,mbank_ike
db=0.016,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.016,16,14572.871098283598,0.0,mbank_ike
db=0.018,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.018000000000000002,16,14572.871098283598,0.0,mbank_ike
db=0.020,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.02,16,14572.871098283598,0.0,mbank_ike
db=0.022,573.2048242253484,0.17682112116458046,1.4825202494991794,3.148890679832935,-0.24993337428610052,0.7074730282406064,594259.5019162429,157,0.022,16,14572.871098283598,0.0,mbank_ike
db=0.024,563.68893658935,0.1744640491208276,1.4783344362262663,3.1917613408128926,-0.24993337428610052,0.6980422267300619,584411.2623886695,157,0.024,14,10820.501464479998,0.0,mbank_ike
db=0.026,512.7146278135447,0.16106736090598267,1.4570619300952192,3.189591134700044,-0.24993337428610052,0.6444411890410751,531656.6249045605,157,0.026000000000000002,14,10789.74373450817,0.0,mbank_ike
db=0.028,550.0890789434754,0.17102068135491144,1.470449453503901,3.2236512077937505,-0.24993337428610052,0.6842650840185227,570336.4161146552,157,0.028,12,7858.764314879898,0.0,mbank_ike
db=0.030,556.3314439957068,0.17261234604576342,1.4725917838581752,3.223960544124396,-0.2502682764531908,0.6897092531743558,576796.8020087008,157,0.03,12,7964.790080551735,0.0,mbank_ike
db=0.032,551.3470008032217,0.17134297036254814,1.4709525218627093,3.223655974040131,-0.24999016960962805,0.6853988324025245,571638.272153275,157,0.032,12,7912.387053668581,0.0,mbank_ike
db=0.034,551.3470008032217,0.17134297036254814,1.4709525218627093,3.223655974040131,-0.24999016960962805,0.6853988324025245,571638.272153275,157,0.034,12,7912.387053668581,0.0,mbank_ike
db=0.036,551.3470008032217,0.17134297036254814,1.4709525218627093,3.223655974040131,-0.24999016960962805,0.6853988324025245,571638.272153275,157,0.036000000000000004,12,7912.387053668581,0.0,mbank_ike
db=0.038,551.3470008032217,0.17134297036254814,1.4709525218627093,3.223655974040131,-0.24999016960962805,0.6853988324025245,571638.272153275,157,0.038,12,7912.387053668581,0.0,mbank_ike
db=0.040,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.04,12,7903.516778682155,0.0,mbank_ike
db=0.042,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.042,12,7903.516778682155,0.0,mbank_ike
db=0.044,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.044,12,7903.516778682155,0.0,mbank_ike
db=0.046,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.046,12,7903.516778682155,0.0,mbank_ike
db=0.048,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.048,12,7903.516778682155,0.0,mbank_ike
db=0.050,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.05,12,7903.516778682155,0.0,mbank_ike
db=0.052,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.052000000000000005,12,7903.516778682155,0.0,mbank_ike
db=0.054,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.054,12,7903.516778682155,0.0,mbank_ike
db=0.056,550.176968023464,0.17104322476902062,1.4704600973501836,3.2235515622386566,-0.24994906422543456,0.684312322988947,570427.3748086515,157,0.056,12,7903.516778682155,0.0,mbank_ike
