date,action,ticker,shares,price,cost,tax,gain
2013-01-31,BUY,IWDA.L,273.6616817319403,32.689998626708984,54.0,,
2013-10-31,SELL,IWDA.L,273.6616817319403,38.02000045776367,62.427703588324476,0.0,1458.6172647207459
2013-10-31,BUY,CNDX.L,56.27093046354713,182.69000244140625,62.05313736679453,,
2016-02-29,SELL,CNDX.L,56.27093046354713,232.83999633789062,78.61273945837206,0.0,2821.986819296384
2016-02-29,BUY,CBU0.L,91.40919281821753,141.6199951171875,78.14106302162183,,
2016-04-29,SELL,CBU0.L,91.40919281821753,141.30999755859375,77.50219688385208,0.0,-28.336626606671416
2016-04-29,BUY,CNDX.L,53.98457440756114,236.41000366210938,77.03718370254896,,
2016-05-31,SELL,CNDX.L,53.98457440756114,247.9600067138672,80.31609259526475,0.0,623.5219991551785
2016-05-31,BUY,CBU0.L,93.68750666186946,141.1699981689453,79.83419603969315,,
2016-06-30,SELL,CBU0.L,93.68750666186946,145.6649932861328,81.88194017337443,0.0,421.1248849865733
2016-06-30,BUY,CNDX.L,55.94207156154292,241.02999877929688,81.39064853233418,,
2016-07-29,SELL,CNDX.L,55.94207156154292,260.1000061035156,87.30319892760372,0.0,1066.8157144105917
2016-07-29,BUY,CBU0.L,98.61405641735101,145.78500366210938,86.7793797340381,,
2016-08-31,SELL,CBU0.L,98.61405641735101,144.56500244140625,85.53684784038794,0.0,-120.30926920765523
2016-08-31,BUY,CNDX.L,53.708458429195936,262.260009765625,85.02362675334561,,
2016-10-31,SELL,CNDX.L,53.708458429195936,265.07000732421875,85.41900881519679,0.0,150.92063706187582
2016-10-31,BUY,EIMI.L,607.87278896448,23.139999389648438,84.90649476230561,,
2017-03-31,SELL,EIMI.L,607.87278896448,24.739999771118164,90.23263595910117,0.0,972.5966942282339
2017-03-31,BUY,CNDX.L,49.44050163466601,300.5400085449219,89.69124014334658,,
2017-11-30,SELL,CNDX.L,49.44050163466601,352.1300048828125,104.45690449214186,0.0,2550.6352982758945
2017-11-30,BUY,EIMI.L,587.6732745285561,29.270000457763672,103.83016306518901,,
2018-03-30,SELL,EIMI.L,587.6732745285561,30.770000457763672,108.49624155755488,0.0,881.509911792833
2018-03-30,BUY,CNDX.L,49.20914716218587,363.07000732421875,107.84526410820956,,
2018-04-30,SELL,CNDX.L,49.20914716218587,370.67999267578125,109.44507785796301,0.0,374.4808890671193
2018-04-30,BUY,EIMI.L,593.044198301322,30.389999389648438,108.78840739081522,,
2018-06-29,SELL,EIMI.L,593.044198301322,28.049999237060547,99.80933585937159,0.0,-1387.7235145164595
2018-06-29,BUY,CNDX.L,41.714345033945904,394.010009765625,99.21047984421536,,
2019-01-31,SELL,CNDX.L,41.714345033945904,385.07501220703125,96.3789115389302,0.0,-372.7175710366446
2019-01-31,BUY,CBU0.L,111.81465478766667,141.94000244140625,95.80063806969662,,
2019-02-28,SELL,CBU0.L,111.81465478766667,141.4499969482422,94.89709547090523,0.0,-54.78979506219912
2019-02-28,BUY,CNDX.L,39.37650140331462,396.8599853515625,94.3277128980798,,
2021-04-30,SELL,CNDX.L,39.37650140331462,782.614990234375,184.89984156731353,0.0,15189.682491103702
2021-04-30,BUY,EIMI.L,811.2963220752906,37.529998779296875,183.79044251790967,,
2021-07-30,SELL,EIMI.L,811.2963220752906,36.52000045776367,177.77125232142959,0.0,-819.407923562103
2021-07-30,BUY,CNDX.L,34.71123444899926,843.3599853515625,176.704624807501,,
2021-08-31,SELL,CNDX.L,34.71123444899926,879.1699829101562,183.10245238390263,0.0,1243.009220874439
2021-08-31,BUY,IWDA.L,348.1349601059795,86.61000061035156,182.00383766959922,,
2021-09-30,SELL,IWDA.L,348.1349601059795,83.37000274658203,174.1440754813004,0.0,-1127.956527046863
2021-09-30,BUY,CNDX.L,34.21477174757687,838.1400146484375,173.0992110284126,,
2022-05-31,SELL,CNDX.L,34.21477174757687,712.1599731445312,146.19834557340366,0.0,-4310.378364806413
2022-05-31,BUY,IB01.L,235.88939842964035,102.05999755859375,145.32115549996323,,
2023-05-31,SELL,IB01.L,235.88939842964035,104.9000015258789,148.46878953124758,0.0,669.9268273806883
2023-05-31,BUY,CNDX.L,30.232538321325496,808.6900024414062,147.57797679406008,,
2025-04-30,SELL,CNDX.L,30.232538321325496,1106.4000244140625,200.69568682088166,0.0,9000.529647930987
2025-04-30,BUY,IWDA.L,312.4914265293028,105.76000213623047,199.4915126999564,,
2025-07-31,SELL,IWDA.L,312.4914265293028,120.08000183105469,225.14382641896546,0.0,4474.877132534799
2025-07-31,BUY,CNDX.L,27.622586521164703,1342.199951171875,223.79296346045166,,
2025-11-28,SELL,CNDX.L,27.622586521164703,1454.0,240.97944481064087,0.0,3088.206521825319
2025-11-28,BUY,EIMI.L,898.0024671201579,44.189998626708984,239.53356814177704,,
