label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,broker,k,base,rotations,total_costs
xtb_ike_k=0.05,432.40895924123885,0.136159462107638,1.4211250797101624,3.143881422721684,-0.2193931952272296,0.6206184378992025,446748.4201887657,157,xtb_ike,0.05,0.02,20,39491.13448263971
xtb_ike_k=0.10,477.65850015545595,0.15042087628989154,1.4415264449336593,3.1920580105462255,-0.2193931952272296,0.6856223418146485,493390.6514732406,157,xtb_ike,0.1,0.02,17,28133.43858248096
xtb_ike_k=0.15,477.65850015545595,0.15042087628989154,1.4415264449336593,3.1920580105462255,-0.2193931952272296,0.6856223418146485,493390.6514732406,157,xtb_ike,0.15000000000000002,0.02,17,28133.43858248096
xtb_ike_k=0.20,477.65850015545595,0.15042087628989154,1.4415264449336593,3.1920580105462255,-0.2193931952272296,0.6856223418146485,493390.6514732406,157,xtb_ike,0.2,0.02,17,28133.43858248096
bossa_ike_promo_k=0.05,484.8525297516843,0.1531258547683089,1.4498144995365245,3.210846371838657,-0.211112153118455,0.7253294161724076,502821.9190348649,157,bossa_ike_promo,0.05,0.02,20,7256.61106317296
bossa_ike_promo_k=0.10,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,bossa_ike_promo,0.1,0.02,17,5140.771638148217
bossa_ike_promo_k=0.15,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,bossa_ike_promo,0.15000000000000002,0.02,17,5140.771638148217
bossa_ike_promo_k=0.20,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,bossa_ike_promo,0.2,0.02,17,5140.771638148217
bossa_ike_standard_k=0.05,451.2327951393108,0.14090056177781926,1.4338587009716308,3.173026032877552,-0.2142055435619251,0.6577820509910662,461696.68757580454,157,bossa_ike_standard,0.05,0.02,20,27606.420332520658
bossa_ike_standard_k=0.10,489.0269629058161,0.1524027668063912,1.4502474962334333,3.2125204771786415,-0.2142055435619251,0.7114790974694489,500281.77528954373,157,bossa_ike_standard,0.1,0.02,17,20014.5185890878
bossa_ike_standard_k=0.15,489.0269629058161,0.1524027668063912,1.4502474962334333,3.2125204771786415,-0.2142055435619251,0.7114790974694489,500281.77528954373,157,bossa_ike_standard,0.15000000000000002,0.02,17,20014.5185890878
bossa_ike_standard_k=0.20,489.0269629058161,0.1524027668063912,1.4502474962334333,3.2125204771786415,-0.2142055435619251,0.7114790974694489,500281.77528954373,157,bossa_ike_standard,0.2,0.02,17,20014.5185890878
mbank_ike_k=0.05,472.8641792995384,0.14955558184295778,1.4443814448808925,3.197904281390489,-0.21201548962403885,0.7053993182675498,490414.35962575406,157,mbank_ike,0.05,0.02,20,13914.30485453167
mbank_ike_k=0.10,507.05985896002915,0.15949380223340312,1.4584171119782363,3.2323950140168844,-0.21201548962403885,0.7522742914502569,525804.3575940671,157,mbank_ike,0.1,0.02,17,9779.131158374215
mbank_ike_k=0.15,507.05985896002915,0.15949380223340312,1.4584171119782363,3.2323950140168844,-0.21201548962403885,0.7522742914502569,525804.3575940671,157,mbank_ike,0.15000000000000002,0.02,17,9779.131158374215
mbank_ike_k=0.20,507.05985896002915,0.15949380223340312,1.4584171119782363,3.2323950140168844,-0.21201548962403885,0.7522742914502569,525804.3575940671,157,mbank_ike,0.2,0.02,17,9779.131158374215
taxed_account_k=0.05,395.1046535475196,0.12355352949278814,1.400841253191838,3.2169484151874506,-0.2096657171229669,0.5892881830572483,409529.0656726429,157,taxed_account,0.05,0.02,20,6562.727027117834
taxed_account_k=0.10,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,taxed_account,0.1,0.02,17,4810.6949981175685
taxed_account_k=0.15,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,taxed_account,0.15000000000000002,0.02,17,4810.6949981175685
taxed_account_k=0.20,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,taxed_account,0.2,0.02,17,4810.6949981175685
