label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,universe,n_etfs,rotations,total_costs,start_date,end_date
U5,586.2025464767837,0.179974350272127,1.4874876178749117,3.157206419074639,-0.25019378026170286,0.7193398256498371,607711.7915440726,157,U5,5,16,7574.737393820323,2013-02-28,2026-02-27
U7,616.8446317771419,0.18712322074694454,1.4970528999904769,3.8686078391194214,-0.19374257798878164,0.9658342667339732,639424.1140914735,157,U7,7,24,7320.8424582472235,2013-02-28,2026-02-27
U9,608.1195512647977,0.18512664427803519,1.5237941175074654,3.7385850565717043,-0.19202308446570898,0.9640853587636994,630394.2923692466,157,U9,9,31,7524.313640313016,2013-02-28,2026-02-27
