label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,deadband,rotations,total_costs,total_taxes,broker
db=0.000,399.40396077871816,0.1251241957227264,1.4029917464325394,3.2068794608881475,-0.23091631253513353,0.5418594916445713,413974.08104336273,157,0.0,30,10206.02698594398,63167.81818076924,taxed_account
db=0.002,399.40396077871816,0.1251241957227264,1.4029917464325394,3.2068794608881475,-0.23091631253513353,0.5418594916445713,413974.08104336273,157,0.002,30,10206.02698594398,63167.81818076924,taxed_account
db=0.004,425.48788171072425,0.13427074964608518,1.4195993907858417,3.4287663045896335,-0.18632481863593225,0.7206272928591565,440942.0140698856,157,0.004,26,9456.613987063594,61794.6323671923,taxed_account
db=0.006,425.48788171072425,0.13427074964608518,1.4195993907858417,3.4287663045896335,-0.18632481863593225,0.7206272928591565,440942.0140698856,157,0.006,26,9456.613987063594,61794.6323671923,taxed_account
db=0.008,425.48788171072425,0.13427074964608518,1.4195993907858417,3.4287663045896335,-0.18632481863593225,0.7206272928591565,440942.0140698856,157,0.008,26,9456.613987063594,61794.6323671923,taxed_account
db=0.010,425.48788171072425,0.13427074964608518,1.4195993907858417,3.4287663045896335,-0.18632481863593225,0.7206272928591565,440942.0140698856,157,0.01,26,9456.613987063594,61794.6323671923,taxed_account
db=0.012,420.9326696306842,0.13271862107258312,1.4168608378028127,3.42114210716331,-0.18632481863593225,0.7122970629688764,436232.4209601552,157,0.012,24,8052.051207813273,60492.772593740556,taxed_account
db=0.014,413.09853446185576,0.13000560279789344,1.4137825805096829,3.4220569117659974,-0.18575459007841047,0.6998782788786843,428132.778536594,157,0.014,22,7542.005043693716,59957.13769474824,taxed_account
db=0.016,413.09853446185576,0.13000560279789344,1.4137825805096829,3.4220569117659974,-0.18575459007841047,0.6998782788786843,428132.778536594,157,0.016,22,7542.005043693716,59957.13769474824,taxed_account
db=0.018,403.32225014588437,0.12653948625328745,1.4052529320581637,3.219517365880669,-0.21030159659866068,0.6017048291591207,418025.165445425,157,0.018000000000000002,20,6639.490304676942,59190.15694050738,taxed_account
db=0.020,403.32225014588437,0.12653948625328745,1.4052529320581637,3.219517365880669,-0.21030159659866068,0.6017048291591207,418025.165445425,157,0.02,20,6639.490304676942,59190.15694050738,taxed_account
db=0.022,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.022,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.024,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.024,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.026,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.026000000000000002,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.028,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.028,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.030,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.03,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.032,423.80328719103716,0.13369888000605887,1.4131888779532535,3.132164107028893,-0.2096657171229669,0.6376764014674168,439200.3268326718,157,0.032,17,4810.6949981175685,64260.744903692655,taxed_account
db=0.034,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.034,17,4809.34628702781,64195.35643827343,taxed_account
db=0.036,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.036000000000000004,17,4809.34628702781,64195.35643827343,taxed_account
db=0.038,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.038,17,4809.34628702781,64195.35643827343,taxed_account
db=0.040,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.04,17,4809.34628702781,64195.35643827343,taxed_account
db=0.042,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.042,17,4809.34628702781,64195.35643827343,taxed_account
db=0.044,423.559712580669,0.13361598739860053,1.4131899183865346,3.1324497885651295,-0.20964771232463036,0.6373357758929512,438948.49721715914,157,0.044,17,4809.34628702781,64195.35643827343,taxed_account
db=0.046,422.6801214359333,0.13331621143695643,1.4120957964633607,3.1336791095413723,-0.20958246471589406,0.6361038439817821,438039.09578384744,157,0.046,17,4797.195075744322,63957.519248896,taxed_account
db=0.048,422.6801214359333,0.13331621143695643,1.4120957964633607,3.1336791095413723,-0.20958246471589406,0.6361038439817821,438039.09578384744,157,0.048,17,4797.195075744322,63957.519248896,taxed_account
db=0.050,426.211796037302,0.13451573467501013,1.414378594039864,3.1325332075016856,-0.20984228679576522,0.6410325427206732,441690.46263047506,157,0.05,15,4575.468419955873,64848.88228890478,taxed_account
db=0.052,469.48256745172614,0.148387568472633,1.437804840400655,3.0592140803150794,-0.2143384322301687,0.6923050006882856,486427.72696094256,157,0.052000000000000005,13,4618.221484478699,71851.97295752348,taxed_account
