label,total_return,cagr,sharpe,sortino,max_drawdown,calmar,final_value,months,deadband,rotations,total_costs,total_taxes,broker
db=0.000,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.0,24,1164.56169816731,0.0,bossa_ike_promo
db=0.002,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.002,24,1164.56169816731,0.0,bossa_ike_promo
db=0.004,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.004,24,1164.56169816731,0.0,bossa_ike_promo
db=0.006,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.006,24,1164.56169816731,0.0,bossa_ike_promo
db=0.008,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.008,24,1164.56169816731,0.0,bossa_ike_promo
db=0.010,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.01,24,1164.56169816731,0.0,bossa_ike_promo
db=0.012,5.455056849161626,0.15332311157225886,1.0195731054886346,1.028372280055768,-0.2336062751199549,0.6563313057131223,58037.416130812184,158,0.012,24,1164.56169816731,0.0,bossa_ike_promo
db=0.014,5.672488274422916,0.15624946476590607,1.0295807100871779,1.0465218141496715,-0.2336062751199549,0.6688581660988056,59992.34207533644,158,0.014,24,1179.1277351493957,0.0,bossa_ike_promo
db=0.016,5.799382853245112,0.1579168629985288,1.0364520689678096,1.0566048928942138,-0.2336062751199549,0.6759958092625713,61133.251233526804,158,0.016,24,1189.1451440366861,0.0,bossa_ike_promo
db=0.018,5.426378691243641,0.15293036573772567,1.0083293878669637,1.0392454960344022,-0.23941066087789215,0.6387784285668279,57779.57081297157,158,0.018000000000000002,24,1160.2647850203753,0.0,bossa_ike_promo
db=0.020,5.246815734307712,0.15043382300401742,0.9930822563830906,1.0329856430954305,-0.240834299261755,0.6246362061598035,56165.12026716064,158,0.02,24,1142.9598758142133,0.0,bossa_ike_promo
db=0.022,5.246815734307712,0.15043382300401742,0.9930822563830906,1.0329856430954305,-0.240834299261755,0.6246362061598035,56165.12026716064,158,0.022,24,1142.9598758142133,0.0,bossa_ike_promo
db=0.024,5.497797559781328,0.1539054631976957,1.0136072610294848,1.0432548051452233,-0.23141952086544337,0.6650496147521736,58421.697859993925,158,0.024,22,1020.8632552709812,0.0,bossa_ike_promo
db=0.026,5.8383867010890755,0.1584236022270855,1.035176285006848,1.0692542520619035,-0.2318567506804007,0.6832822497605948,61483.93482949188,158,0.026000000000000002,22,1049.3771669680748,0.0,bossa_ike_promo
db=0.028,5.611178728729614,0.15543333677294768,1.0178118891988217,1.061452153040823,-0.22978482744172937,0.6764299388407778,59441.107950007965,158,0.028,20,944.6891843914403,0.0,bossa_ike_promo
db=0.030,5.96203083659045,0.16001253248240865,1.0465855983859988,1.09708912314779,-0.23224412082091533,0.6889842115994624,62595.61925178474,158,0.03,18,778.9028467565117,0.0,bossa_ike_promo
db=0.032,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.032,19,833.0386815252126,0.0,bossa_ike_promo
db=0.034,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.034,19,833.0386815252126,0.0,bossa_ike_promo
db=0.036,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.036000000000000004,19,833.0386815252126,0.0,bossa_ike_promo
db=0.038,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.038,19,833.0386815252126,0.0,bossa_ike_promo
db=0.040,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.04,19,833.0386815252126,0.0,bossa_ike_promo
db=0.042,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.042,19,833.0386815252126,0.0,bossa_ike_promo
db=0.044,5.437801417033835,0.15308699293398398,1.0117467607964394,1.0687453191202043,-0.25989460118463564,0.5890349096756617,57882.27254055121,158,0.044,19,833.0386815252126,0.0,bossa_ike_promo
db=0.046,5.788243936531253,0.15777165302896456,1.04566355742991,1.1006307184724176,-0.2601352391813423,0.6064985794522852,61033.1012333525,158,0.046,19,866.2051383363367,0.0,bossa_ike_promo
db=0.048,6.940747596176479,0.17174289687091404,1.1304066117815954,1.1784120258276516,-0.23245144076708282,0.7388334367993917,71395.26163722272,158,0.048,16,678.4434237361376,0.0,bossa_ike_promo
db=0.050,6.940747596176479,0.17174289687091404,1.1304066117815954,1.1784120258276516,-0.23245144076708282,0.7388334367993917,71395.26163722272,158,0.05,16,678.4434237361376,0.0,bossa_ike_promo
db=0.052,8.071762293134633,0.1837388219790963,1.1973494914489882,1.2135504835064936,-0.2335368058718362,0.7867660144325653,81564.21477757348,158,0.052000000000000005,14,643.7153943930819,0.0,bossa_ike_promo
db=0.054,7.966679811689806,0.18268432478044438,1.1915846823749139,1.2079758888958507,-0.2335368058718362,0.782250678210871,80619.41818690304,158,0.054,14,645.0203392505038,0.0,bossa_ike_promo
db=0.056,7.966679811689806,0.18268432478044438,1.1915846823749139,1.2079758888958507,-0.2335368058718362,0.782250678210871,80619.41818690304,158,0.056,14,645.0203392505038,0.0,bossa_ike_promo
db=0.058,7.966679811689806,0.18268432478044438,1.1915846823749139,1.2079758888958507,-0.2335368058718362,0.782250678210871,80619.41818690304,158,0.058,14,645.0203392505038,0.0,bossa_ike_promo
db=0.060,7.966679811689806,0.18268432478044438,1.1915846823749139,1.2079758888958507,-0.2335368058718362,0.782250678210871,80619.41818690304,158,0.06,14,645.0203392505038,0.0,bossa_ike_promo
db=0.062,7.966679811689806,0.18268432478044438,1.1915846823749139,1.2079758888958507,-0.2335368058718362,0.782250678210871,80619.41818690304,158,0.062,14,645.0203392505038,0.0,bossa_ike_promo
